                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3216,                 1.7548,                0.96939,                 0.4892,                0.16667,                 0.1493,                0.11315,                 1.3013,                 2.9405,                0.76345,                0.00024,                0.00024,                0.00024
                      2,                  1.225,                 1.4572,                0.92979,                0.64596,                  0.077,                 0.0772,                0.05986,                 1.2865,                  2.967,                0.74212,             0.00048515,             0.00048515,             0.00048515
                      3,                 1.1974,                 1.3151,                0.94094,                0.62225,                 0.0802,                0.08313,                0.06365,                 1.2379,                 2.5165,                0.72372,             0.00072535,             0.00072535,             0.00072535
                      4,                 1.1861,                 1.2445,                0.93494,                0.61743,                0.05372,                0.07065,                0.04793,                 1.1717,                 2.1877,                0.68721,              0.0009606,              0.0009606,              0.0009606
                      5,                 1.1504,                 1.2114,                0.91442,                 0.5609,                0.07045,                0.09078,                0.06569,                 1.1267,                  2.131,                0.67398,              0.0011909,              0.0011909,              0.0011909
                      6,                  1.143,                 1.1183,                0.90054,                0.62008,                0.05052,                0.06001,                0.04604,                 2.0648,                 4.8209,                 0.9571,              0.0011881,              0.0011881,              0.0011881
                      7,                  1.126,                 1.1219,                0.91544,                0.43142,                0.06311,                0.07918,                0.05687,                 1.1094,                 2.0359,                0.67796,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.1146,                 1.0888,                0.91541,                0.47114,                0.05029,                0.06536,                0.04638,                 1.0571,                 2.0216,                0.66917,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.2182,                 1.1417,                0.93568,                0.55405,                0.06738,                 0.0906,                0.06468,                  1.115,                 1.9849,                 0.6745,               0.001151,               0.001151,               0.001151
                     10,                 1.1066,                  1.035,                0.91462,                0.28421,                0.07036,                0.09608,                0.06628,                 1.0528,                 1.8575,                0.65542,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.1093,                 1.0554,                 0.9277,                0.57728,                0.06738,                0.09562,                0.07028,                 1.0209,                 1.9502,                0.65184,              0.0011263,              0.0011263,              0.0011263
                     12,                  1.089,                 1.0683,                0.90571,                0.61198,                0.07036,                0.08892,                0.06595,                 1.0453,                   1.78,                0.65041,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.1199,                 1.0489,                 0.9236,                0.20748,                0.03342,                0.05466,                0.03108,                 1.0788,                 1.8656,                0.66542,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.0819,                 1.0395,                0.92405,                0.53394,                0.08639,                0.11503,                0.07873,                 1.0568,                 2.0486,                0.67739,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.1099,                0.99912,                0.89474,                0.28788,                0.13881,                0.13247,                0.10073,                  1.094,                 1.8612,                0.66783,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.0336,                0.95238,                0.89381,                0.48228,                0.09412,                0.11504,                0.08049,                  1.106,                 1.9162,                  0.672,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.0523,                0.92462,                0.88188,                 0.1767,                 0.0364,                0.05929,                0.03368,                  1.108,                 1.8753,                0.67033,               0.001052,               0.001052,               0.001052
                     18,                  1.077,                0.97331,                0.88497,                0.31641,                0.15438,                0.14727,                0.10853,                 1.0958,                 1.8493,                0.67703,              0.0010396,              0.0010396,              0.0010396
                     19,                  1.064,                0.98013,                0.90947,                0.29785,                0.09516,                0.08579,                0.05924,                 1.0875,                 1.7932,                0.67959,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.0702,                0.97123,                0.90448,                0.25809,                  0.115,                0.08088,                 0.0559,                 1.0907,                 1.7648,                0.67706,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.0297,                0.94764,                0.87974,                0.33857,                 0.1102,                0.11535,                0.07992,                 1.1007,                 1.8227,                0.68053,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.0509,                0.94369,                0.89128,                0.69096,                0.13819,                0.16762,                 0.1227,                 1.0826,                 1.7312,                0.66877,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.0815,                0.94466,                0.88827,                0.41873,                0.12344,                0.12964,                0.09045,                 1.0316,                  1.793,                0.66549,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.0044,                0.87302,                 0.8981,                0.32552,                0.10844,                 0.1006,                0.07224,                 1.0391,                 1.8534,                0.66928,             0.00096537,             0.00096537,             0.00096537
                     25,                  1.031,                0.88549,                0.89298,                0.36698,                0.13307,                0.12933,                0.08614,                 1.0855,                 1.7542,                0.67135,               0.000953,               0.000953,               0.000953
                     26,                 1.0258,                0.88402,                0.88273,                0.43044,                0.25108,                0.23467,                0.16808,                 1.0549,                 1.7838,                0.67223,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.0217,                0.89846,                0.88956,                0.37185,                0.11157,                0.12347,                0.08882,                 1.0489,                 1.6643,                0.66726,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.0009,                0.87319,                0.88326,                0.41948,                0.25176,                0.22659,                 0.1642,                 1.0435,                  1.802,                 0.6656,             0.00091588,             0.00091588,             0.00091588
