                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.8858,                0.60688,                0.82481,                0.73003,                 0.6094,                0.57528,                0.41162,                0.85899,                 1.1074,                0.54696,             0.00081688,             0.00081688,             0.00081688
                     37,                0.90514,                0.62715,                0.83529,                0.72578,                0.60727,                0.54943,                 0.4005,                0.88809,                 1.1905,                0.55079,              0.0008045,              0.0008045,              0.0008045
                     38,                0.89499,                0.64136,                0.82681,                0.71412,                0.53376,                0.48883,                0.35997,                0.84996,                 1.1532,                0.54807,             0.00079213,             0.00079213,             0.00079213
                     39,                0.86104,                0.58986,                0.82902,                0.71905,                0.62826,                0.54429,                0.39088,                0.85705,                 1.1319,                0.54993,             0.00077975,             0.00077975,             0.00077975
                     40,                0.86616,                0.59478,                0.83417,                0.70662,                0.61462,                0.55237,                0.39883,                0.87739,                 1.1811,                0.55361,             0.00076738,             0.00076738,             0.00076738
                     41,                0.84735,                 0.5949,                0.82924,                0.69043,                0.64256,                 0.5465,                0.40091,                0.85508,                 1.1191,                0.54851,               0.000755,               0.000755,               0.000755
                     42,                0.88599,                0.60813,                0.82658,                0.68333,                0.64417,                0.54692,                0.39201,                0.86815,                  1.166,                0.55028,             0.00074263,             0.00074263,             0.00074263
                     43,                0.79357,                0.55819,                0.82056,                0.69933,                0.64044,                0.55999,                 0.4022,                0.87033,                 1.1342,                0.54959,             0.00073025,             0.00073025,             0.00073025
                     44,                0.83525,                 0.5857,                0.81793,                0.73563,                0.63293,                0.55903,                0.40339,                0.84212,                 1.1248,                 0.5468,             0.00071788,             0.00071788,             0.00071788
                     45,                0.86182,                0.58093,                 0.8249,                0.71786,                0.64484,                0.55317,                0.39381,                0.87332,                    1.1,                0.55018,              0.0007055,              0.0007055,              0.0007055
                     46,                0.85123,                0.56429,                0.82662,                0.70876,                0.64347,                0.55892,                0.40162,                0.88213,                 1.0983,                0.54931,             0.00069313,             0.00069313,             0.00069313
                     47,                0.81438,                0.54512,                0.83186,                0.72493,                0.62519,                0.56101,                0.41264,                0.87191,                 1.1469,                0.54696,             0.00068075,             0.00068075,             0.00068075
                     48,                0.82089,                0.55883,                0.82875,                0.70983,                0.62892,                0.55392,                0.39701,                0.86967,                 1.1259,                0.54935,             0.00066838,             0.00066838,             0.00066838
                     49,                0.82446,                0.54087,                0.80638,                 0.6878,                0.63325,                0.54778,                0.39601,                0.87457,                 1.1517,                0.54776,               0.000656,               0.000656,               0.000656
                     50,                0.79262,                0.53364,                 0.8153,                0.72835,                0.62808,                0.59593,                 0.4289,                0.89242,                 1.1398,                0.54821,             0.00064362,             0.00064362,             0.00064362
                     51,                  0.831,                 0.5666,                0.82016,                0.71544,                0.62881,                0.56536,                0.41082,                0.84846,                 1.1296,                0.54641,             0.00063125,             0.00063125,             0.00063125
                     52,                0.81259,                 0.5514,                0.82468,                0.73616,                0.64679,                0.63619,                0.46087,                0.88604,                 1.1992,                0.54864,             0.00061887,             0.00061887,             0.00061887
                     53,                0.82277,                0.54688,                0.82586,                0.69975,                0.65511,                0.58134,                0.41839,                0.87396,                  1.094,                0.54913,              0.0006065,              0.0006065,              0.0006065
                     54,                0.83171,                0.55498,                0.82196,                0.69724,                0.63035,                0.55145,                0.39722,                0.86844,                 1.0732,                0.54821,             0.00059413,             0.00059413,             0.00059413
                     55,                0.82962,                0.55297,                0.82141,                0.68865,                0.65474,                0.55863,                0.40438,                0.83568,                 1.0681,                0.54404,             0.00058175,             0.00058175,             0.00058175
                     56,                0.81289,                0.53358,                0.82453,                0.69542,                0.66081,                0.58695,                0.42306,                0.86192,                 1.0517,                0.54656,             0.00056938,             0.00056938,             0.00056938
                     57,                0.80519,                 0.5226,                0.81076,                0.70198,                0.64653,                0.56267,                0.40536,                0.87101,                 1.0684,                0.54722,               0.000557,               0.000557,               0.000557
                     58,                0.78611,                0.50968,                0.80826,                0.71873,                0.63756,                0.56759,                0.40688,                  0.886,                 1.0735,                0.54758,             0.00054463,             0.00054463,             0.00054463
                     59,                0.78111,                 0.5174,                0.81224,                0.70927,                0.65511,                0.58816,                0.42669,                0.82722,                 1.0676,                0.54407,             0.00053225,             0.00053225,             0.00053225
                     60,                0.78879,                0.50918,                0.82005,                0.70282,                0.65749,                0.56434,                0.41233,                0.83151,                 1.0564,                 0.5465,             0.00051988,             0.00051988,             0.00051988
                     61,                0.79407,                0.52118,                0.81605,                 0.7427,                0.62522,                0.57492,                0.41555,                 0.8598,                 1.0563,                0.54774,              0.0005075,              0.0005075,              0.0005075
                     62,                0.78166,                0.51403,                0.81649,                0.74238,                0.63164,                0.58395,                0.41951,                0.82763,                 1.0299,                0.54441,             0.00049513,             0.00049513,             0.00049513
                     63,                0.74844,                0.49832,                0.81154,                0.75875,                0.62372,                 0.5898,                0.43282,                0.80561,                 1.0095,                0.54196,             0.00048275,             0.00048275,             0.00048275
                     64,                0.76632,                 0.4967,                0.81755,                 0.7215,                0.65312,                0.57587,                0.41713,                 0.8305,                 1.0182,                0.54414,             0.00047038,             0.00047038,             0.00047038
                     65,                0.78007,                0.50636,                0.82413,                0.72125,                0.64861,                0.58117,                0.42872,                0.83437,                 1.0645,                0.54387,               0.000458,               0.000458,               0.000458
                     66,                0.77367,                 0.4907,                0.81067,                0.75011,                0.63134,                0.56691,                 0.4145,                0.81604,                 1.0703,                0.54326,             0.00044563,             0.00044563,             0.00044563
                     67,                0.75314,                0.49468,                0.80615,                0.70844,                0.66795,                0.58047,                0.44056,                0.82193,                 1.0408,                0.54432,             0.00043325,             0.00043325,             0.00043325
                     68,                 0.7672,                 0.4985,                0.81295,                0.69662,                0.66645,                0.56975,                0.41433,                0.84046,                 1.0255,                0.54432,             0.00042087,             0.00042087,             0.00042087
                     69,                0.75941,                0.49068,                0.80862,                0.78649,                0.65595,                0.61947,                0.45938,                0.81706,                 1.0391,                0.54297,              0.0004085,              0.0004085,              0.0004085
                     70,                0.77952,                0.49025,                0.80866,                0.72826,                0.65561,                0.57478,                0.41923,                0.83036,                 1.0346,                0.54378,             0.00039613,             0.00039613,             0.00039613
                     71,                0.78544,                0.48334,                0.80956,                0.77884,                0.63941,                0.60581,                0.45124,                0.81632,                 1.0151,                 0.5426,             0.00038375,             0.00038375,             0.00038375
                     72,                0.74298,                0.47553,                0.80783,                0.73393,                0.64802,                0.57236,                0.41917,                0.85288,                 1.0176,                0.54548,             0.00037138,             0.00037138,             0.00037138
                     73,                0.74065,                0.47829,                0.81407,                0.71836,                0.64282,                0.56307,                0.41914,                0.80894,                 1.0038,                0.54171,               0.000359,               0.000359,               0.000359
                     74,                0.75617,                0.49022,                0.80973,                0.74714,                0.64629,                0.59912,                0.43661,                0.83833,                  1.043,                0.54415,             0.00034663,             0.00034663,             0.00034663
                     75,                0.74027,                0.48051,                0.80805,                0.74663,                0.63138,                0.58734,                0.42959,                0.84362,                 1.0286,                0.54445,             0.00033425,             0.00033425,             0.00033425
                     76,                0.77139,                0.49219,                0.80775,                  0.743,                0.65433,                0.60004,                 0.4394,                0.83212,                 1.0247,                0.54405,             0.00032188,             0.00032188,             0.00032188
                     77,                0.73583,                0.47188,                0.81276,                0.74825,                0.68107,                 0.6238,                0.45806,                0.82004,                0.99633,                 0.5438,              0.0003095,              0.0003095,              0.0003095
                     78,                0.73123,                0.47173,                0.81334,                0.71636,                0.67627,                0.59174,                0.43223,                0.83177,                0.97406,                0.54314,             0.00029713,             0.00029713,             0.00029713
                     79,                0.77539,                0.48243,                0.80508,                0.69774,                0.66591,                0.58506,                0.43573,                0.81062,                0.98941,                 0.5415,             0.00028475,             0.00028475,             0.00028475
                     80,                0.71582,                0.45087,                0.80604,                0.73604,                0.62973,                 0.5731,                0.41861,                0.81674,                 1.0166,                0.54269,             0.00027237,             0.00027237,             0.00027237
                     81,                0.72301,                0.45801,                0.81342,                0.76249,                0.62534,                0.58504,                 0.4302,                0.81369,                 1.0048,                0.54146,                0.00026,                0.00026,                0.00026
                     82,                0.71434,                0.46134,                0.80921,                0.77282,                0.62283,                0.58796,                 0.4309,                0.83871,                 1.0354,                 0.5434,             0.00024762,             0.00024762,             0.00024762
                     83,                0.73903,                0.46893,                0.80703,                0.74326,                0.61853,                0.58768,                 0.4349,                0.79621,                 1.0105,                0.54059,             0.00023525,             0.00023525,             0.00023525
                     84,                0.71169,                0.46096,                0.81158,                 0.7215,                0.64248,                0.59937,                0.44381,                 0.8608,                 1.0714,                0.54426,             0.00022288,             0.00022288,             0.00022288
                     85,                0.72384,                0.45042,                0.80793,                0.71919,                0.67333,                0.59961,                0.44159,                0.82575,                 1.0085,                0.54299,              0.0002105,              0.0002105,              0.0002105
                     86,                 0.7079,                0.43993,                0.79965,                0.71979,                 0.6571,                0.57849,                0.42644,                0.80385,                0.98609,                0.54116,             0.00019813,             0.00019813,             0.00019813
                     87,                0.72221,                0.45383,                0.81607,                0.72439,                 0.6654,                0.58304,                0.42681,                0.81961,                0.99319,                 0.5421,             0.00018575,             0.00018575,             0.00018575
                     88,                0.71334,                 0.4581,                0.80841,                0.74408,                0.65934,                0.60156,                0.44426,                0.81905,                0.98232,                0.54189,             0.00017338,             0.00017338,             0.00017338
                     89,                0.68374,                0.42922,                0.80394,                0.72869,                0.65677,                0.59037,                0.43503,                 0.8272,                0.99411,                0.54258,               0.000161,               0.000161,               0.000161
                     90,                0.69635,                 0.4366,                0.81296,                0.74179,                0.67497,                0.62118,                0.46663,                 0.8167,                0.98591,                0.54157,             0.00014862,             0.00014862,             0.00014862
                     91,                0.78624,                0.49213,                0.81633,                0.68068,                0.66777,                0.56003,                0.41906,                0.75515,                0.98149,                  0.538,             0.00013625,             0.00013625,             0.00013625
                     92,                0.71153,                0.45197,                0.81125,                0.71047,                0.65119,                0.55844,                0.41951,                0.74073,                 0.9811,                0.53777,             0.00012387,             0.00012387,             0.00012387
                     93,                0.68849,                0.43578,                0.80143,                0.69833,                0.65318,                 0.5508,                 0.4161,                0.74401,                0.96023,                0.53945,              0.0001115,              0.0001115,              0.0001115
                     94,                0.71558,                0.44789,                0.80369,                0.68509,                 0.6582,                0.55346,                0.41572,                0.73865,                0.95168,                0.53843,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.74352,                0.46135,                0.80467,                 0.6907,                0.66189,                0.56903,                0.42506,                0.73718,                0.95978,                0.53844,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.69036,                0.44092,                0.80231,                0.69043,                0.65616,                0.56541,                0.42224,                0.73246,                0.97613,                0.53707,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.69044,                0.43397,                0.80153,                0.69344,                0.66808,                0.57131,                0.42272,                0.73724,                0.97027,                0.53749,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.69309,                0.42894,                0.80709,                0.69803,                0.66515,                0.56695,                 0.4197,                0.73373,                0.94988,                0.53804,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.70337,                 0.4289,                0.80973,                0.69115,                0.66834,                 0.5673,                0.42137,                0.73531,                0.94959,                0.53812,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.70881,                0.43215,                0.79763,                0.70051,                0.66526,                0.57104,                 0.4213,                 0.7365,                0.94736,                0.53841,             2.4875e-05,             2.4875e-05,             2.4875e-05
