                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0476,                0.89896,                0.90619,                0.29217,                  0.093,                0.08931,                 0.0658,                 1.0147,                 1.6409,                0.61438,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.0975,                0.94752,                 0.9151,                0.61259,                0.04851,                0.05708,                0.04126,                  1.039,                 1.6933,                0.61713,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.1212,                0.94988,                0.89873,                0.58698,                0.07427,                0.08061,                0.06037,                 1.0253,                 1.6695,                0.61303,              0.0008045,              0.0008045,              0.0008045
                     38,                0.97665,                0.82004,                0.89407,                0.75627,                0.04851,                 0.0598,                0.04076,                 1.0146,                 1.8076,                0.61172,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.0457,                0.88994,                0.88985,                0.41102,                0.06047,                0.06516,                 0.0446,                 1.0116,                 1.7108,                0.61315,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.0326,                0.88157,                 0.8902,                 0.2769,                0.12596,                 0.1169,                0.08709,                 1.0026,                 1.6626,                0.61054,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.0451,                0.89486,                0.89542,                 0.6777,                0.10355,                0.10562,                0.07883,                0.99196,                 1.6341,                0.60998,               0.000755,               0.000755,               0.000755
                     42,                 1.0431,                0.89692,                0.89316,                 0.4697,                0.15612,                0.15988,                0.11663,                 1.0158,                 1.6636,                 0.6125,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.0255,                0.85724,                0.87941,                0.69913,                0.11532,                0.11846,                 0.0856,                 1.0128,                 1.7045,                0.61248,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.0507,                0.87979,                0.89638,                0.65418,                0.14213,                 0.1598,                0.12187,                0.98084,                 1.6266,                0.60591,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.0547,                0.89981,                0.89758,                0.60096,                0.26978,                 0.2867,                0.20129,                0.99614,                 1.6398,                0.60814,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.0346,                0.90553,                0.88862,                 0.4211,                0.17353,                0.16698,                0.11811,                0.99015,                 1.6284,                0.60818,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.0396,                0.89193,                0.88571,                0.43528,                0.12336,                0.12323,                0.09413,                0.99037,                 1.6524,                0.61116,             0.00068075,             0.00068075,             0.00068075
                     48,                0.99365,                0.83584,                 0.8969,                0.50857,                0.34984,                0.33763,                0.24094,                0.99146,                 1.6093,                0.61124,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.0632,                0.88126,                0.90699,                 0.5107,                0.31741,                0.30804,                0.21152,                  1.006,                 1.6721,                0.61107,               0.000656,               0.000656,               0.000656
                     50,                 1.0716,                0.90561,                0.90414,                 0.6674,                 0.4075,                0.41554,                0.28813,                0.99194,                 1.6226,                0.61049,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.0216,                0.82948,                0.87897,                0.31203,                 0.0847,                0.09223,                0.06948,                 0.9831,                 1.6446,                0.60895,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.0223,                0.84931,                0.88477,                0.70103,                0.36769,                0.39692,                0.26417,                0.98797,                 1.6206,                0.61032,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.0204,                 0.8641,                0.89669,                0.69866,                0.45371,                0.48214,                0.33002,                0.99159,                 1.6516,                0.60864,              0.0006065,              0.0006065,              0.0006065
                     54,                  1.058,                0.90621,                0.89575,                0.72751,                 0.4279,                0.49623,                0.34438,                0.99748,                 1.5902,                0.60966,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.0077,                0.84666,                0.89387,                 0.6411,                0.46839,                0.49405,                0.33718,                0.99494,                 1.5787,                0.61065,             0.00058175,             0.00058175,             0.00058175
                     56,                0.98684,                0.85077,                0.88192,                0.66831,                0.46121,                0.49219,                0.34192,                0.98251,                 1.5491,                 0.6078,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.0385,                0.87762,                0.88536,                0.68107,                 0.4679,                0.49148,                0.35011,                0.97943,                 1.5617,                 0.6064,               0.000557,               0.000557,               0.000557
                     58,                 1.0139,                0.85281,                0.88671,                  0.664,                 0.3908,                0.42321,                0.30871,                0.97596,                 1.5857,                0.60791,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.0257,                0.89637,                0.88471,                0.70205,                0.43346,                0.49785,                0.35096,                0.98103,                 1.5409,                0.61079,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.0197,                0.85543,                0.88581,                0.43272,                0.24945,                0.23457,                0.18241,                0.98152,                 1.5852,                0.61147,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.0289,                0.84994,                 0.8934,                 0.7246,                0.43104,                0.49524,                0.33723,                0.97526,                 1.5761,                0.60989,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.0116,                0.84371,                0.90672,                0.69476,                0.44003,                0.48545,                0.34434,                0.98293,                 1.5635,                0.61048,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.0422,                0.84858,                 0.8921,                0.67926,                0.46626,                0.48404,                0.33152,                0.99331,                 1.5777,                0.60922,             0.00048275,             0.00048275,             0.00048275
                     64,                  1.002,                0.82198,                0.89228,                0.66943,                0.29519,                0.30457,                0.22342,                0.96985,                  1.555,                0.60849,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.0013,                0.81692,                0.90255,                0.68195,                0.46306,                0.48556,                0.34515,                 0.9808,                 1.5353,                0.60823,               0.000458,               0.000458,               0.000458
                     66,                 1.0272,                0.84916,                0.89445,                 0.6929,                0.35106,                 0.3987,                0.28642,                0.98229,                  1.559,                0.60931,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.0251,                0.82518,                0.88421,                0.71685,                0.46263,                0.49246,                0.34825,                0.97794,                 1.5432,                0.60899,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.0661,                0.85142,                0.88949,                0.71062,                0.44716,                0.49515,                0.34496,                 0.9852,                 1.5638,                0.61103,             0.00042087,             0.00042087,             0.00042087
                     69,                0.99186,                0.79824,                0.88161,                0.72693,                0.43689,                 0.4902,                0.34062,                0.97154,                 1.5323,                0.60847,              0.0004085,              0.0004085,              0.0004085
                     70,                 1.0149,                0.81827,                0.88032,                 0.6752,                0.46131,                0.49552,                0.34169,                  0.993,                 1.5241,                0.61016,             0.00039613,             0.00039613,             0.00039613
                     71,                 1.0475,                0.85196,                0.88748,                0.64346,                0.40537,                0.41918,                0.30098,                0.97082,                 1.5012,                0.60762,             0.00038375,             0.00038375,             0.00038375
                     72,                 1.0088,                0.81105,                0.88728,                 0.7259,                 0.4433,                0.49746,                0.34522,                0.96976,                 1.5236,                0.60832,             0.00037138,             0.00037138,             0.00037138
                     73,                 1.0159,                0.80936,                0.88787,                0.73018,                0.43221,                0.49393,                0.34282,                0.96949,                 1.5365,                0.60805,               0.000359,               0.000359,               0.000359
                     74,                  1.014,                0.82045,                0.88617,                0.69479,                 0.4528,                 0.4929,                 0.3442,                0.96882,                 1.5551,                 0.6064,             0.00034663,             0.00034663,             0.00034663
                     75,                 1.0124,                0.81098,                0.88493,                0.71913,                0.44147,                0.49207,                0.34213,                0.97964,                 1.5229,                0.60973,             0.00033425,             0.00033425,             0.00033425
                     76,                0.97916,                 0.7883,                0.88377,                0.70802,                0.44051,                 0.4859,                 0.3412,                0.97644,                 1.5308,                0.61009,             0.00032188,             0.00032188,             0.00032188
                     77,                0.97665,                0.79104,                 0.8718,                0.70132,                0.43406,                0.49132,                0.34657,                0.97556,                 1.5497,                0.60918,              0.0003095,              0.0003095,              0.0003095
